v0,w0,v1,w1,payload,unit weight,m,Pmax,Pstable
0,0,0,0,0,5.8,50,41.69,41.69
0,0,0.1,0,0,5.8,50,80.5,50.11
0,0,0.2,0,0,5.8,50,126.78,58.27
0,0,0.3,0,0,5.8,50,167.04,65.32
0,0,0.4,0,0,5.8,50,176.41,72.78
0,0,0.5,0,0,5.8,50,278.54,79.9
0.1,0.4,0.5,0,1,5.8,50,,118.5910151
0,0,0.2,0,1,5.8,50,,81.50731707
0,0.5,0.4,0,1,5.8,50,,97.55969191
0,0.3,0.3,0,1,5.8,50,,89.32691242
0.2,0.3,0.5,0,2,5.8,50,,132.3592077
0.1,0.4,0.5,0,2,5.8,50,,132.3592077
0,0.5,0.4,0,2,5.8,50,,100.1675225
0,0.3,0.3,0,2,5.8,50,,91.01135408
0,0,0,0.1,0,5.8,50,94.07,88.75
0,0,0.1,0.1,0,5.8,50,94.37,80.32
0,0,0.5,0.1,0,5.8,50,265.12,111.33
0,0,0.3,0.1,0,5.8,50,166.02,93.48
0,0,0.5,0.1,0,5.8,50,265.12,111.33
0.5,0.5,0.3,0.1,0,5.8,50,62.78,113.7
0,0,0.3,0.1,1,5.8,50,172.26,107.2
0,0,0.1,0.1,1,5.8,50,99.15,85.3
0,0,0.5,0.1,1,5.8,50,276.07,120.23
0,0,0.1,0.1,1,5.8,50,,110.2372935
0,0,0.5,0.1,2,5.8,50,334.74,140.11
0,0,0.1,0.1,2,5.8,50,98.28,90.34
0,0,0.3,0.1,2,5.8,50,164.44,112.21
0,0,0.1,0.1,2,5.8,50,,115.366
0,0,0,0.2,0,5.8,50,102.09,98.05
0.5,0.5,0.2,0.2,1,5.8,50,,129.5624047
0.5,0.5,0.2,0.2,2,5.8,50,,138
0,0,0,0.3,0,5.8,50,122.12,114.62
0,0,0.5,0.3,0,5.8,50,274.4,138.47
0,0,0.1,0.3,0,5.8,50,130.91,111.74
0,0,0.3,0.3,0,5.8,50,189.4,112.92
0.1,0.3,0.3,0.3,0,5.8,50,172.94,132.79
0.3,0.5,0.1,0.3,0,5.8,50,101.16,135.05
0.5,0.1,0.5,0.3,0,5.8,50,183.44,157.28
0,0,0.1,0.3,1,5.8,50,135.59,134.08
0,0,0.3,0.3,1,5.8,50,205.88,123.51
0,0,0.5,0.3,1,5.8,50,244.18,149.67
0.5,0,0.4,0.3,1,5.8,50,,110.7747817
0.4,0,0,0.3,1,5.8,50,,47.95353009
0.2,0.2,0.3,0.3,1,5.8,50,,156.5449477
0.5,0.5,0.2,0.3,1,5.8,50,,93.49822946
0,0,0.3,0.3,2,5.8,50,203.93,146.89
0,0,0.1,0.3,2,5.8,50,152.23,134.62
0,0,0.5,0.3,2,5.8,50,334.79,163.96
0.5,0.5,0.2,0.3,2,5.8,50,,71.91296697
0.5,0,0.4,0.3,2,5.8,50,,90.74773405
0.4,0,0,0.3,2,5.8,50,,61.67163291
0.2,0.2,0.3,0.3,2,5.8,50,,167.8306489
0,0,0,0.4,0,5.8,50,172.17,128.87
0.5,0,0.1,0.4,1,5.8,50,,135.029216
0.3,0,0,0.4,1,5.8,50,,166.1074695
0.5,0,0.3,0.4,1,5.8,50,,163.0832317
0.3,0.3,0.4,0.4,1,5.8,50,,175.2393592
0.5,0,0.1,0.4,2,5.8,50,,148.8955295
0.3,0,0,0.4,2,5.8,50,,181.5479675
0.5,0,0.3,0.4,2,5.8,50,,172.4857724
0.3,0.3,0.4,0.4,2,5.8,50,,190.7049818
0,0,0,0.5,0,5.8,50,175.53,143.38
0,0,0.3,0.5,0,5.8,50,193.66,139.42
0.1,0.5,0.5,0.5,0,5.8,50,260.49,176.64
0,0,0.5,0.5,0,5.8,50,234.91,153.48
0,0,0.1,0.5,0,5.8,50,172.57,138.4
0.3,0.1,0.3,0.5,0,5.8,50,218.07,157.84
0,0,0.5,0.5,1,5.8,50,260.83,179.11
0,0,0.1,0.5,1,5.8,50,170.89,155.94
0,0,0.3,0.5,1,5.8,50,210.13,152.03
0.2,0,0.3,0.5,1,5.8,50,,178.3262195
0,0,0,0.5,1,5.8,50,,187.4519817
0.1,0.1,0.5,0.5,1,5.8,50,,197.7286585
0,0,0.1,0.5,2,5.8,50,234.78,182.92
0,0,0.3,0.5,2,5.8,50,243.56,164.41
0,0,0.5,0.5,2,5.8,50,359.2,189.82
0,0,0,0.5,2,5.8,50,,206.2343206
0.1,0.1,0.5,0.5,2,5.8,50,,213.998
